Key,Spanish(es),English(en)
WQ1,¿Cuál fue una característica principal de la Web 1.0?,What was a main feature of Web 1.0?
WQ1-A,A) Se podían hacer compras en línea,A) Online shopping was available
WQ1-B,B) Solo se podía leer información,B) Only information could be read
WQ1-C,C) Todos los usuarios podían crear contenido,C) All users could create content
WQ1-D,D) Las redes sociales dominaban el espacio,D) Social media dominated the space
WQ2,¿Qué marcó la transición de la Web 1 a la Web 2?,What marked the transition from Web 1 to Web 2?
WQ2-A,A) La aparición de criptomonedas,A) The emergence of cryptocurrencies
WQ2-B,B) El uso de Inteligencia Artificial,B) The use of Artificial Intelligence
WQ2-C,C) La posibilidad de crear contenido y comunicarse,C) The ability to create content and communicate
WQ2-D,D) El uso de blockchain,D) The use of blockchain
WQ3,¿Cuál es una de las principales ventajas de la Web 3?,What is one of the main advantages of Web 3?
WQ3-A,A) Es privada pero centralizada,A) It is private but centralized
WQ3-B,B) Permite a los usuarios tener control sobre sus datos,B) It allows users to have control over their data
WQ3-C,C) Se basa en redes sociales,C) It is based on social networks
WQ3-D,D) Solo funciona en ciertos países,D) It only works in certain countries
WQ4,¿Qué empresa representa un ejemplo de poder centralizado en la Web 2?,Which company represents an example of centralized power in Web 2?
WQ4-A,A) Amazon,A) Amazon
WQ4-B,B) Brave,B) Brave
WQ4-C,C) Wikipedia,C) Wikipedia
WQ4-D,D) Bitcoin,D) Bitcoin
WQ5,¿Qué se busca recuperar con la Web 3 según la narradora?,What does Web 3 aim to recover according to the narrator?
WQ5-A,A) El anonimato total,A) Total anonymity
WQ5-B,B) La velocidad de navegación,B) Browsing speed
WQ5-C,C) El control sobre nuestros datos,C) Control over our data
WQ5-D,D) Los blogs personales,D) Personal blogs
WQ6,¿Cuál de estas afirmaciones representa mejor el propósito de la Web 3?,Which of the following best represents the purpose of Web 3?
WQ6-A,A) Vender más publicidad,A) Selling more advertising
WQ6-B,B) Hacer que todos dependan de un servidor,B) Making everyone dependent on one server
WQ6-C,C) Dar voz a las comunidades y descentralizar el poder,C) Empowering communities and decentralizing power
WQ6-D,D) Eliminar las redes sociales,D) Eliminating social networks
WQ7,"¿Qué representa el concepto de ""descentralización""?","What does the concept of ""decentralization"" represent?"
WQ7-A,A) Un solo punto de control,A) A single point of control
WQ7-B,B) Un sistema compartido entre muchas personas,B) A system shared among many people
WQ7-C,C) Una empresa global,C) A global company
WQ7-D,D) Un gobierno único,D) A single government
WQ8,¿Por qué es importante la transparencia en la Web 3?,Why is transparency important in Web 3?
